date,value
3/2/2012,1.662
3/9/2012,1.653
3/16/2012,1.645
3/23/2012,1.639
3/30/2012,1.645
4/6/2012,1.638
4/13/2012,1.636
4/20/2012,1.627
4/27/2012,1.627
5/4/2012,1.625
5/11/2012,1.621
5/18/2012,1.621
5/25/2012,1.625
6/1/2012,1.628
6/8/2012,1.632
6/15/2012,1.629
6/22/2012,1.637
6/29/2012,1.64
7/6/2012,1.647
7/13/2012,1.647
7/20/2012,1.66
7/27/2012,1.656
8/3/2012,1.645
8/10/2012,1.645
8/17/2012,1.643
8/24/2012,1.648
8/31/2012,1.655
9/7/2012,1.652
9/14/2012,1.647
9/21/2012,1.655
9/28/2012,1.659
10/5/2012,1.663
10/12/2012,1.663
10/19/2012,1.6563
10/26/2012,1.658
11/2/2012,1.659
11/9/2012,1.663
11/16/2012,1.668
11/23/2012,1.656
11/30/2012,1.66
12/7/2012,1.662
12/14/2012,1.662
12/21/2012,1.652
12/28/2012,1.655
1/4/2013,1.658
1/11/2013,1.656
1/18/2013,1.657
1/25/2013,1.659
2/1/2013,1.6537
2/8/2013,1.6555
2/15/2013,1.654
2/22/2013,1.653
3/1/2013,1.6545
3/8/2013,1.659
3/15/2013,1.659
3/22/2013,1.658
3/29/2013,1.657
4/5/2013,1.651
4/12/2013,1.6553
4/19/2013,1.655
4/26/2013,1.651
5/3/2013,1.65
5/10/2013,1.645
5/17/2013,1.6335
5/24/2013,1.636
5/31/2013,1.649
6/7/2013,1.66
6/14/2013,1.6495
6/21/2013,1.6525
6/28/2013,1.651
7/5/2013,1.6547
7/12/2013,1.656
7/19/2013,1.653
7/26/2013,1.6537
8/2/2013,1.665
8/9/2013,1.6578
8/16/2013,1.6618
8/23/2013,1.66
8/30/2013,1.659
9/6/2013,1.6618
9/13/2013,1.6557
9/20/2013,1.662
9/27/2013,1.662
10/4/2013,1.661
10/11/2013,1.664
10/18/2013,1.6615
10/25/2013,1.668
11/1/2013,1.6715
11/8/2013,1.677
11/15/2013,1.676
11/22/2013,1.6775
11/29/2013,1.695
12/6/2013,1.7079
12/13/2013,1.7101
12/20/2013,1.7149
12/27/2013,1.7364
1/3/2014,1.7445
1/10/2014,1.7471
1/17/2014,1.777
1/24/2014,1.7761
1/31/2014,1.7789
2/7/2014,1.7399
2/14/2014,1.7259
2/21/2014,1.7373
2/28/2014,1.7421
3/7/2014,1.7373
3/14/2014,1.724
3/21/2014,1.7456
3/28/2014,1.7479
4/4/2014,1.7449
4/11/2014,1.7522
4/18/2014,1.7526
4/25/2014,1.7684
5/2/2014,1.7595
5/9/2014,1.762
5/16/2014,1.751
5/23/2014,1.768
5/30/2014,1.771
6/6/2014,1.768
6/13/2014,1.769
6/20/2014,1.77
6/27/2014,1.768
7/4/2014,1.77
7/11/2014,1.765
7/18/2014,1.752
7/25/2014,1.75
8/1/2014,1.733
